param_Ne	param_log_time_split_AfrEur	param_log_time_admixture	param_log_time_Afr_ex	param_log_severity	param_Ne_Afr_anc	param_Ne_Eur	param_log_Ne_Eur_bn	param_Ne_Ame	param_log_Ne_Ame_bn	param_proportion_admixture
8.59473e+06	4.35638	2.80057	6.51842	1.31043	1.16181e+07	2.95924e+06	3.08256	6.45926e+06	2.78374	0.666284
6.97705e+06	5.70531	2.82482	6.35144	0.334351	1.10176e+07	7.05476e+06	4.45096	1.23434e+07	4.02766	0.839063
7.58698e+06	4.30012	3.13897	6.62532	0.659731	2.74431e+06	8.53019e+06	3.68191	2.41984e+07	2.32155	0.716845
1.04966e+07	5.07693	3.24214	5.93055	-1.93747	2.04073e+06	1.92031e+06	4.14317	4.05225e+06	2.47031	0.556232
1.21021e+07	5.73326	3.21167	6.62985	1.28456	3.6331e+06	5.79266e+06	4.97634	1.62821e+07	2.98131	0.404128
1.343e+07	5.38708	3.79018	5.93019	-0.974661	2.30978e+06	3.51184e+06	4.39678	2.47725e+07	4.52824	0.866812
1.72344e+07	5.27392	3.36157	6.50334	1.04484	1.58488e+07	3.64831e+06	4.76019	2.48831e+07	3.25181	0.555747
1.24267e+07	4.49245	3.07924	6.53934	1.20497	1.55258e+07	2.35073e+06	3.54841	8.36683e+06	3.29012	0.864547
1.72828e+07	4.60554	3.5906	6.48615	1.98014	1.88827e+07	4.7421e+06	3.94794	1.96431e+07	3.09868	0.126928
7.77512e+06	5.07151	3.53903	6.68278	1.05309	1.84769e+07	1.92666e+06	4.53822	3.59474e+06	2.4861	0.095819
1.66358e+07	4.75067	2.75248	6.60326	0.812753	3.67332e+06	9.5959e+06	3.56445	1.30492e+07	4.2932	0.541002
1.27568e+07	4.93446	3.82744	6.48362	1.14511	1.73379e+07	5.13427e+06	3.96542	2.73654e+07	4.57418	0.537429
5.98301e+06	5.97186	2.91922	6.6709	1.67636	1.46971e+07	8.84577e+06	3.94557	1.08814e+07	3.43116	0.849716
1.91678e+07	5.354	3.08581	5.40256	-0.515692	3.47223e+06	4.23553e+06	4.15437	5.05318e+06	2.39721	0.866715
3.98654e+06	4.12371	3.33995	6.83921	0.68277	4.18073e+06	6.18592e+06	2.89782	1.95231e+07	4.03831	0.984109
1.6489e+07	4.24428	2.20814	6.71002	0.893574	1.22925e+07	1.11417e+06	3.48293	1.41475e+07	3.66956	0.799463
1.07568e+07	4.54633	3.73276	6.76428	1.07049	1.18824e+07	5.29144e+06	3.95431	9.57057e+06	4.88023	0.787901
3.10765e+06	6.07085	3.486	6.80135	-1.83788	4.15117e+06	3.60969e+06	3.98388	2.94428e+07	4.7699	0.930554
1.97001e+07	4.58296	3.3016	6.50318	1.1278	7.81213e+06	2.9065e+06	3.93115	795047	3.5717	0.550658
9.50348e+06	5.03616	2.80865	6.4238	-0.221447	1.16035e+06	8.05065e+06	4.22329	2.65074e+07	2.09345	0.897617
4.12594e+06	4.45805	2.58498	6.61215	0.345438	2.6444e+06	4.58756e+06	3.43236	7.67106e+06	2.05892	0.488217
3.29975e+06	5.62344	3.3342	6.4087	-1.69941	2.51818e+06	6.46099e+06	4.88767	2.83257e+07	3.17183	0.84744
3.4575e+06	5.29449	3.51744	6.81966	0.669541	3.46685e+06	7.87268e+06	4.01213	1.79908e+07	3.06209	0.686825
1.13251e+07	4.90285	3.60467	6.54072	0.557122	1.43339e+07	4.95223e+06	4.45303	3.78094e+06	3.5089	0.782541
7.24349e+06	5.55847	2.28873	6.76759	1.14136	1.80203e+07	5.28832e+06	4.82284	304421	2.78061	0.98052
1.18436e+07	4.00647	3.5321	6.53687	1.56915	1.09866e+07	848893	3.60698	7.35804e+06	3.08277	0.495863
7.51019e+06	5.55236	3.75309	6.81376	1.83177	5.1689e+06	2.30443e+06	4.74612	1.88019e+07	4.92152	0.822203
3.47919e+06	5.44157	3.29019	6.76307	-1.9029	1.35632e+06	1.44146e+06	4.26062	2.55493e+07	2.35035	0.640436
1.61946e+07	5.80936	2.50043	6.37825	0.535158	9.10697e+06	5.37349e+06	4.87458	1.41367e+07	2.74808	0.883917
7.29084e+06	4.1863	2.55476	6.51488	-0.0286	18611	9.92794e+06	3.15262	4.62438e+06	2.99	0.768477
1.69304e+07	4.1574	2.62449	6.57665	0.735391	1.21197e+07	7.40154e+06	2.92545	2.11793e+07	4.10228	0.483002
1.382e+07	6.19732	2.58424	6.52429	1.73186	6.8564e+06	4.38848e+06	4.95857	2.85668e+07	4.87413	0.73481
3.98654e+06	4.12371	3.33995	6.83921	0.68277	4.18073e+06	6.18592e+06	2.89782	1.95231e+07	4.03831	0.984109
1.13149e+07	5.40698	3.89189	6.6127	0.727956	1.31596e+07	8.69051e+06	4.80346	1.41774e+07	4.46806	0.892271
1.45631e+07	4.29704	2.31134	5.16762	0.066219	8.81411e+06	6.90211e+06	3.15094	5.0452e+06	2.46799	0.973687
9.54396e+06	5.97944	2.22565	6.52935	1.95026	1.29449e+07	9.96297e+06	4.77594	5.87067e+06	3.63206	0.833257
1.45903e+07	5.91462	3.37747	6.11281	-1.39805	1.19625e+06	5.4927e+06	4.92647	5.10499e+06	3.72264	0.70473
1.50958e+07	5.32961	2.6346	6.46471	1.0482	1.15809e+07	8.17985e+06	4.59094	6.04107e+06	2.72872	0.43529
1.04966e+07	5.07693	3.24214	5.93055	-1.93747	2.04073e+06	1.92031e+06	4.14317	4.05225e+06	2.47031	0.556232
9.73023e+06	6.25041	3.41778	6.28124	-0.755339	1.81466e+06	8.47711e+06	3.99344	2.60817e+07	3.59039	0.873292
9.11727e+06	4.98682	3.33073	6.51678	1.28143	1.47043e+06	5.81355e+06	3.80346	1.30175e+07	2.46178	0.262202
3.59142e+06	6.16756	3.57044	6.80394	0.042262	2.29143e+06	3.34626e+06	4.90395	2.03943e+06	4.17206	0.91716
1.39669e+07	5.21388	3.73414	6.54472	0.559628	8.50198e+06	4.34489e+06	4.46399	7.32097e+06	3.14025	0.757823
1.78792e+07	4.99892	2.67817	6.30428	0.483356	5.99541e+06	3.26996e+06	4.85138	2.32863e+07	2.53726	0.82708
4.68843e+06	5.26719	3.33168	6.21352	0.029151	4.79892e+06	5.31108e+06	4.04721	1.5434e+07	3.35233	0.89159
8.08501e+06	4.35018	3.03787	6.19365	0.055079	4.64327e+06	7.84634e+06	3.222	2.78678e+07	4.1198	0.839334
1.96438e+07	5.03037	3.72089	6.54926	1.7839	1.66385e+06	9.49591e+06	4.49647	1.71595e+07	4.75751	0.774511
6.14762e+06	4.85298	3.10593	6.55609	1.48395	1.70473e+07	4.69547e+06	3.89375	706605	2.92155	0.365884
1.27568e+07	4.93446	3.82744	6.48362	1.14511	1.73379e+07	5.13427e+06	3.96542	2.73654e+07	4.57418	0.537429
1.16706e+07	5.20148	3.30635	5.50938	-1.90537	2.63432e+06	5.08726e+06	4.09007	5.59997e+06	4.96705	0.911262
8.91775e+06	5.87468	3.59994	6.44268	-0.973162	1.67911e+06	2.95651e+06	4.66847	7.13733e+06	4.27261	0.761431
1.5998e+07	4.93727	2.77077	6.60177	1.14226	1.74664e+07	8.77328e+06	4.10481	1.18102e+07	2.95246	0.850077
2.47626e+06	4.20831	3.41123	6.21071	-1.61559	5.26775e+06	9.53747e+06	2.8507	54168.1	2.64608	0.307778
8.59473e+06	4.35638	2.80057	6.51842	1.31043	1.16181e+07	2.95924e+06	3.08256	6.45926e+06	2.78374	0.666284
1.46057e+07	4.66641	3.21392	6.34529	0.581051	1.37612e+07	8.03623e+06	3.23607	7.40509e+06	4.95292	0.648842
1.35022e+07	4.28264	3.05649	6.50014	1.10915	1.33719e+07	1.05169e+06	3.80631	7.78703e+06	2.8186	0.501531
7.85507e+06	6.4399	2.39614	6.62428	1.80293	1.54805e+07	2.4354e+06	4.13665	9.79041e+06	4.38517	0.78061
8.86215e+06	4.6958	3.59412	6.5859	0.634278	1.61507e+07	3.26417e+06	3.70707	3.15522e+06	3.57532	0.44467
